Epoch,Total Loss,Eikonal Loss,Data Loss,Source Loss
1,4.323968696594238,0.9997616589069367,0.9817522048950196,2.342454841732979
2,3.1054847478866576,0.9836665630340576,0.47920525521039964,1.6426129158586265
3,1.4371078222990037,0.5650580778717995,0.09372171498835087,0.7783280372619629
4,0.9497897446155548,0.17051863372325898,0.0791562557220459,0.7001148447394371
5,0.8873220562934876,0.12960533872246743,0.08257062435150146,0.6751460921019315
6,0.8415115043520928,0.08591626435518265,0.08662336692214012,0.6689718663692474
7,0.8009337276220322,0.04368418697267771,0.09063182715326548,0.6666177213191986
8,0.7794431477785111,0.020810736902058126,0.09319019876420498,0.6654422156512737
9,0.7724651604890823,0.014167551044374704,0.09406359679996967,0.6642340134829283
10,0.7699153780937195,0.01147215086966753,0.09416477978229523,0.6642784517258405
11,0.7665720105171203,0.009552075667306781,0.0940312821418047,0.6629886515438557
12,0.7664807990193367,0.008251192234456538,0.09372226297855377,0.6645073395222425
13,0.7636064484715461,0.007464662473648786,0.09328168407082557,0.6628601055592298
14,0.7616487205028534,0.006912252050824463,0.09275440722703934,0.6619820635765791
15,0.760403560101986,0.006680812244303525,0.09232415668666363,0.6613986015319824
16,0.7587586678564548,0.006581196025945246,0.09183931462466717,0.660338158160448
17,0.7574356675148011,0.006463193474337459,0.0913531631231308,0.6596193041652441
18,0.7557537510991097,0.00642944963183254,0.09099831245839596,0.6583259891718626
19,0.7541527733206749,0.006373809138312936,0.0906441293656826,0.6571348413825036
20,0.753012003749609,0.006338009261526167,0.09041169658303261,0.656262299977243
21,0.7521722763776779,0.006411625072360039,0.09017393290996552,0.6555867260321975
22,0.7511572316288948,0.006227651424705982,0.08988099396228791,0.6550485825166106
23,0.7500328801572322,0.006178083177655935,0.08973071500658988,0.65412407964468
24,0.7490217477083206,0.00605495828203857,0.08956670202314854,0.6534000834450125
25,0.7483044162392616,0.005998285068199038,0.08944315128028393,0.6528629899024964
26,0.7472297459840774,0.005851694685406983,0.08922539837658405,0.6521526392549276
27,0.7460756346583366,0.005996511410921812,0.0892037522047758,0.6508753802627325
28,0.7460943706333637,0.0055996472481638195,0.08896735720336438,0.6515273561701178
29,0.74534060806036,0.005710246460512281,0.08895134441554546,0.6506790187209844
30,0.7439124971628189,0.005395588604733348,0.08888609372079373,0.6496308099478483
31,0.74335318505764,0.005423570494167506,0.08879194147884846,0.6491376679390669
32,0.7419776558876038,0.005219490313902497,0.08873616214841604,0.6480220120400191
33,0.7406647861003876,0.005023712757974863,0.08873303420841694,0.6469080358743667
34,0.7398667380213737,0.00506923736538738,0.08878314606845379,0.6460143432021141
35,0.7386976033449173,0.0051566680893301966,0.08859706223011017,0.6449438851326704
36,0.73684641122818,0.004318557190708816,0.08820419013500214,0.6443236764520407
37,0.7368261203169822,0.005254628416150808,0.0892607357352972,0.6423107590526342
